2026-06-28 12:10:27,512 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus armatus (J) - D.png
2026-06-28 12:10:27,512 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus armatus (J) - L.png
2026-06-28 12:10:27,512 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus armatus (B) - D.png
2026-06-28 12:10:27,528 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Onthophagus armatus (B) - D.png
2026-06-28 12:10:27,528 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus armatus (B) - L.png
2026-06-28 12:10:27,528 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Catharsius renaudpailiani (J) - D.png
2026-06-28 12:10:27,543 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Catharsius renaudpailiani (J) - L.png
2026-06-28 12:10:27,543 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Catharsius renaudpailiani (B) - D.png
2026-06-28 12:10:27,543 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Catharsius renaudpailiani (B) - D.png
2026-06-28 12:10:27,543 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Catharsius renaudpailiani (B) - L.png
2026-06-28 12:10:27,543 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Caccobius unicornis (J) - D.png
2026-06-28 12:10:27,559 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Caccobius unicornis (J) - L.png
2026-06-28 12:10:27,559 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Caccobius unicornis (B) - D.png
2026-06-28 12:10:27,559 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Caccobius unicornis (B) - D.png
2026-06-28 12:10:27,569 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Caccobius unicornis (B) - L.png
2026-06-28 12:10:27,569 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - writeSubsets...
2026-06-28 12:10:27,569 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - writeScoreArrays...
2026-06-28 12:10:27,569 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - writeMeasures...
2026-06-28 12:10:27,569 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - writeDependencyArrays...
2026-06-28 12:10:27,569 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - writeScopeArrays...
2026-06-28 12:10:27,569 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - writeHtmlFile: D:\Reza Desu~\#14 hasil final\identification_key_of_dung_beetle.html
2026-06-28 12:10:27,575 [Thread-7] INFO com.cbit.lucid.builder.application.gui.deploy.DeployKeyDialog - copyMediaFiles: D:\Reza Desu~\#14 hasil final
2026-06-29 10:03:21,361 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - writeJsonFile: D:\Reza Desu~\#14 hasil final\key\identification_key_of_dung_beetle.json
2026-06-29 10:03:21,361 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - writeOptions...
2026-06-29 10:03:21,361 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - writeFeatures...
2026-06-29 10:03:21,398 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan kepala.html
2026-06-29 10:03:21,424 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,424 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,424 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,457 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan abdomen-karakter umum.html
2026-06-29 10:03:21,457 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan abdomen-karakter umum.html
2026-06-29 10:03:21,457 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan kepala.html
2026-06-29 10:03:21,457 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan kepala.html
2026-06-29 10:03:21,457 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan kepala.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan kepala.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan toraks.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan abdomen-karakter umum.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan abdomen-karakter umum.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan abdomen-karakter umum.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan abdomen-karakter umum.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Html/sumbu dan abdomen-karakter umum.html
2026-06-29 10:03:21,462 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - writeStates...
2026-06-29 10:03:21,524 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/IMG_20260628_113649.jpg
2026-06-29 10:03:21,539 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/IMG_20260628_113649.jpg
2026-06-29 10:03:21,552 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/IMG_20260628_113710.jpg
2026-06-29 10:03:21,571 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/IMG_20260628_113734.jpg
2026-06-29 10:03:21,571 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/IMG_20260628_113734.jpg
2026-06-29 10:03:21,584 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/IMG_20260628_113753.jpg
2026-06-29 10:03:21,621 [Thread-1] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/IMG_20260628_113812.jpg
